Host	count
Homo sapiens 5 months old baby girl	13
Homo sapiens 9 months old baby boy	13
Homo sapiens 10 months old baby girl	13
Homo sapiens 10 years old girl	13
chicken (broiler)	12
Scotophilus kuhlii; sex: female	12
feline	12
Myotis petax	12
Himalayan marmot	12
Myotis pilosus	11
Muscovy duck	11
Myotis macrodactylus	11
Coleura afra	11
Retropinna retropinna	11
Rattus flavipectus	11
Phrynocephalus theobaldi	11
Macaca fascicularis	11
Rattus exulans	11
Homo sapiens 6 years old boy	11
Rhinolophus pearsonii	10
Apodemus agrarius	10
Nyctereutes procyonoides (Raccoon dog)	10
rabbit	10
guinea pig	10
Marmota himalayana	10
Canis familiaris	10
Homo sapiens 62 years old female	10
Homo sapiens 1 year 6 months old baby girl	10
Goose	9
Miniopterus orianae oceanensis	9
porcupine	9
Phrynocephalus erythrurus	9
Homo sapiens; infant (<5 years)	9
Homo sapiens; sex: M; age: 6 months	9
Myotis bechsteinii	9
Homo sapiens 2 years old baby boy	9
goat; Mixed breed	8
Marmota caudata	8
Niviventer niviventer	8
Pteropus alecto	8
Rhinolophus coelophyllus	8
Mastomys natalensis	8
health cat	8
yak	8
Rattus andamanensis	8
Myotis pequinius	8
Myotis myotis	8
Homo sapiens 1 year old male	8
Anas penelope	8
Rhinolophus pusillus	7
Neodon fuscus	7
Bactrian camel	7
Muraenolepis sp.	7
Rattus rattus; male	7
Mops condylurus	7
Scotophilus kuhlii; sex: male	7
Miniopterus sp. (bat)	7
Eidolon helvum (bat)	7
Bos taurus breed Hanwoo	7
goslings	7
Spatula clypeata	7
Rhinolophus thomasi; mixed sex	7
Homo sapiens; infant	7
Rousettus amplexicaudatus	7
Hipposideros gigas	7
laboratory mouse	7
Vulpes vulpes (fox)	6
Anser sp.	6
calf	6
Crocidura lasiura	6
Rousettus aegyptiacus	6
Miniopterus sp. clade 10 TD-2020	6
Taphozous melanopogon; sex: female	6
Ovis aries	6
red fox	6
Pipistrellus abramus	6
Gobiomorphus cotidianus	6
Roussetus leschenaulti; mixed sex	6
Plecotus auritus	6
Rhinolophus shameli	6
Homo sapiens; sex: F; age: 9 months	6
Homo sapiens; sex: F; age: 23 Y	6
Homo sapiens; age: 3 Y	6
Hortobagy goose	6
Rattus argentiventer	6
Anas clypeata	6
Homo sapiens age 7 months	6
Myotis sp.	5
Crocidura attenuata	5
Rattus nitidus	5
Ia io	5
Porcupine	5
Sus scrofa domestica (domestic swine)	5
Hylomyscus sp.	5
Hipposideros ruber	5
Homo sapiens; sex: M; age: 3 months	5
stool	5
Mus_musculus	5
Homo sapiens; sex: M; age: 20 Y	5
Taphozous perforatus	5
Homo sapiens; sex: M; age: 11 months	5
Bat	5
Eptesicus serotinus andersoni	5
Hystrix brachyurus	5
Homo sapiens age 8 months	5
Homo sapiens age 12 months	5
Homo sapiens age 5 months	5
Tylonycteris pachypus	4
Anourosorex squamipes	4
cat	4
Nyctereutes procyonoides(racoon dog)	4
Anser indicus (Bar-headed goose)	4
Mus musculus; male	4
Rhizomys pruinosus	4
Myotis ricketti; sex: male	4
Rhinolophus sp.	4
Aythya marila	4
Chodsigoa smithii	4
Bovine	4
Xenotilapia nasus	4
Prunella montanella	4
Coypu	4
raccoon dog	4
Jinding ducks	4
Artibeus planirostris	4
Anas castanea	4
Anas superciliosa	4
mouse	4
Ochotona thibetana	4
Sturnira lilium	4
Chiroptera	4
Passeriformes	4
Coracias garrulus (European roller)	4
Homo sapiens; sex: M; age: 5 months	4
Homo sapiens; sex: F; age: 1 Y	4
Homo sapiens; sex: M; age: 3 Y	4
