Run,Assay Type,AvgSpotLen,Bases,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,BioProject,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,BioSampleModel,Host,lat_lon,isolation_source,Sample_name,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),INSDC_center_name,INSDC_status,Scientific_Name,Submitter_Id,ENA_first_public,ENA-STATUS-ID (exp),ENA-STATUS-ID (run),geographic_location_(country_and/or_sea),source_material_id,isolate,env_broad_scale,env_local_scale,env_medium,Location_Province,ArrayExpress-SPECIES,common_name,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,external_id,INSDC_first_public,INSDC_last_update,sample_description,samp_mat_process,Sample_Barcode,Sample_index,strain,ref_biomaterial,source_uvig,virus_enrich_appr,host_subject_id,Host_Age,host_sex,host_common_name,isol_growth_condt,propagation,project_name,broad-scale_environmental_context,environmental_medium,geographic_location_(latitude),geographic_location_(longitude),local_environmental_context,collected_by,tissue,Broker_name,env_biome,env_feature,env_material,No_of_samples,Biological_Replicate,host_scientific_name,lab_host,host_taxid,host_tissue_sampled,specimen_voucher,misc_param,exp_id,expected_source,host_body_product,host_tot_mass,manuscript_id,samp_capt_status,samp_collect_device,fasta_file (run),sample_type,sex,BREED,Cultivar,dev_stage,ecotype,sub_species,samp_size,Library_ID,rel_to_oxygen,Detail_ID,replicate,SUBMISSION_TOOL (exp),SUBMISSION_TOOL (run),submission_tool,SUBMISSION_TOOL_VERSION (exp),SUBMISSION_TOOL_VERSION (run),SUBMISSION_TOOL_VERSION,genbank_accession,sequencing_approach,matrix_type,organism_spiked_and_spike_in_level,Host_disease,virus_enrich_app,experimental_factor,sample_ID,specific_host,additional_component_added_to_sample,altitude,BIOME,env_package,feature,Investigation_type,Label,material,sample_comment,spike_in_level_of_influenza_a_virus
SRR35726471,RNA-Seq,251,5714216697,SAMN50551711,2372894926,"BGI RESEARCH, BEIJING",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX30775687,DNBSEQ-T7,Y22110000552731,PAIRED,RANDOM PCR,METATRANSCRIPTOMIC,metagenome,DNBSEQ,2026-04-01T00:00:00Z,2025-10-02T16:21:00Z,1,A2011,SRP620618,PRJNA1304170,2022-07-20,China,Asia,China: AnHui,Metagenome or environmental,Nyctalus plancyi,31.3 N 118.4 E,Anal swab A2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR35726472,RNA-Seq,263,1507343928,SAMN50551710,622832048,"BGI RESEARCH, BEIJING",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX30775686,DNBSEQ-T7,Y22110000552730,PAIRED,RANDOM PCR,METATRANSCRIPTOMIC,metagenome,DNBSEQ,2026-04-01T00:00:00Z,2025-10-02T16:17:00Z,1,A2010,SRP620618,PRJNA1304170,2022-07-20,China,Asia,China: AnHui,Metagenome or environmental,Nyctalus plancyi,31.3 N 118.4 E,Anal swab A2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR35726473,RNA-Seq,268,21920211379,SAMN50551709,8908632789,"BGI RESEARCH, BEIJING",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX30775685,DNBSEQ-T7,Y22110000552729,PAIRED,RANDOM PCR,METATRANSCRIPTOMIC,metagenome,DNBSEQ,2026-04-01T00:00:00Z,2025-10-02T16:29:00Z,1,A2009,SRP620618,PRJNA1304170,2022-07-20,China,Asia,China: AnHui,Metagenome or environmental,Nyctalus plancyi,31.3 N 118.4 E,Anal swab A2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR35726474,RNA-Seq,263,4434553873,SAMN50551708,3094540745,"BGI RESEARCH, BEIJING",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX30775684,DNBSEQ-T7,Y22110000552728,PAIRED,RANDOM PCR,METATRANSCRIPTOMIC,metagenome,DNBSEQ,2026-04-01T00:00:00Z,2025-10-02T16:19:00Z,1,A2008,SRP620618,PRJNA1304170,2022-07-20,China,Asia,China: AnHui,Metagenome or environmental,Nyctalus plancyi,31.3 N 118.4 E,Anal swab A2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR35726475,RNA-Seq,279,3874656969,SAMN50551707,2645975015,"BGI RESEARCH, BEIJING",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX30775683,DNBSEQ-T7,Y22110000552727,PAIRED,RANDOM PCR,METATRANSCRIPTOMIC,metagenome,DNBSEQ,2026-04-01T00:00:00Z,2025-10-02T16:19:00Z,1,A2007,SRP620618,PRJNA1304170,2022-07-20,China,Asia,China: AnHui,Metagenome or environmental,Nyctalus plancyi,31.3 N 118.4 E,Anal swab A2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR35726476,RNA-Seq,273,39391932803,SAMN50551419,15296311072,"BGI RESEARCH, BEIJING",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX30775682,DNBSEQ-T7,Y22110000552113,PAIRED,RANDOM PCR,METATRANSCRIPTOMIC,metagenome,DNBSEQ,2026-04-01T00:00:00Z,2025-10-02T16:42:00Z,1,A1393,SRP620618,PRJNA1304170,2022-06-24,China,Asia,China: ZhengJiang,Metagenome or environmental,Pipistrellus abramus,30.9 N 119.8 E,Anal swab A1393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR35726477,RNA-Seq,276,8610438448,SAMN50551706,3550084211,"BGI RESEARCH, BEIJING",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX30775681,DNBSEQ-T7,Y22110000552726,PAIRED,RANDOM PCR,METATRANSCRIPTOMIC,metagenome,DNBSEQ,2026-04-01T00:00:00Z,2025-10-02T16:21:00Z,1,A2006,SRP620618,PRJNA1304170,2022-07-20,China,Asia,China: AnHui,Metagenome or environmental,Pipistrellus abramus,31.3 N 118.4 E,Anal swab A2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR35726478,RNA-Seq,266,4089448454,SAMN50551705,1679236456,"BGI RESEARCH, BEIJING",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX30775680,DNBSEQ-T7,Y22110000552725,PAIRED,RANDOM PCR,METATRANSCRIPTOMIC,metagenome,DNBSEQ,2026-04-01T00:00:00Z,2025-10-02T16:19:00Z,1,A2005,SRP620618,PRJNA1304170,2022-07-20,China,Asia,China: AnHui,Metagenome or environmental,Pipistrellus abramus,31.3 N 118.4 E,Anal swab A2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR35726479,RNA-Seq,276,3284508914,SAMN50551704,1351321128,"BGI RESEARCH, BEIJING",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX30775679,DNBSEQ-T7,Y22110000552724,PAIRED,RANDOM PCR,METATRANSCRIPTOMIC,metagenome,DNBSEQ,2026-04-01T00:00:00Z,2025-10-02T16:18:00Z,1,A2004,SRP620618,PRJNA1304170,2022-07-20,China,Asia,China: AnHui,Metagenome or environmental,Pipistrellus abramus,31.3 N 118.4 E,Anal swab A2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR35726480,RNA-Seq,249,1452507919,SAMN50551703,603267158,"BGI RESEARCH, BEIJING",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX30775678,DNBSEQ-T7,Y22110000552723,PAIRED,RANDOM PCR,METATRANSCRIPTOMIC,metagenome,DNBSEQ,2026-04-01T00:00:00Z,2025-10-02T16:17:00Z,1,A2003,SRP620618,PRJNA1304170,2022-07-20,China,Asia,China: AnHui,Metagenome or environmental,Pipistrellus abramus,31.3 N 118.4 E,Anal swab A2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR35726481,RNA-Seq,282,9051372815,SAMN50551702,6252947625,"BGI RESEARCH, BEIJING",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX30775677,DNBSEQ-T7,Y22110000552722,PAIRED,RANDOM PCR,METATRANSCRIPTOMIC,metagenome,DNBSEQ,2026-04-01T00:00:00Z,2025-10-02T16:23:00Z,1,A2002,SRP620618,PRJNA1304170,2022-07-20,China,Asia,China: AnHui,Metagenome or environmental,Pipistrellus abramus,31.3 N 118.4 E,Anal swab A2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR35726482,RNA-Seq,267,12688431978,SAMN50551701,5271268147,"BGI RESEARCH, BEIJING",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX30775676,DNBSEQ-T7,Y22110000552500,PAIRED,RANDOM PCR,METATRANSCRIPTOMIC,metagenome,DNBSEQ,2026-04-01T00:00:00Z,2025-10-02T16:25:00Z,1,A1780,SRP620618,PRJNA1304170,2022-06-27,China,Asia,China: ZhengJiang,Metagenome or environmental,Pipistrellus abramus,30.9 N 119.6 E,Anal swab A1780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR35726483,RNA-Seq,281,21431338790,SAMN50551700,8634251055,"BGI RESEARCH, BEIJING",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX30775675,DNBSEQ-T7,Y22110000552499,PAIRED,RANDOM PCR,METATRANSCRIPTOMIC,metagenome,DNBSEQ,2026-04-01T00:00:00Z,2025-10-02T16:34:00Z,1,A1779,SRP620618,PRJNA1304170,2022-06-27,China,Asia,China: ZhengJiang,Metagenome or environmental,Pipistrellus abramus,30.9 N 119.6 E,Anal swab A1779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR35726484,RNA-Seq,256,4599840837,SAMN50551699,1850433743,"BGI RESEARCH, BEIJING",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX30775674,DNBSEQ-T7,Y22110000552498,PAIRED,RANDOM PCR,METATRANSCRIPTOMIC,metagenome,DNBSEQ,2026-04-01T00:00:00Z,2025-10-02T16:20:00Z,1,A1778,SRP620618,PRJNA1304170,2022-06-27,China,Asia,China: ZhengJiang,Metagenome or environmental,Pipistrellus abramus,30.9 N 119.6 E,Anal swab A1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR35726485,RNA-Seq,267,4933141931,SAMN50551698,1978282066,"BGI RESEARCH, BEIJING",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX30775673,DNBSEQ-T7,Y22110000552497,PAIRED,RANDOM PCR,METATRANSCRIPTOMIC,metagenome,DNBSEQ,2026-04-01T00:00:00Z,2025-10-02T16:19:00Z,1,A1777,SRP620618,PRJNA1304170,2022-06-27,China,Asia,China: ZhengJiang,Metagenome or environmental,Pipistrellus abramus,30.9 N 119.6 E,Anal swab A1777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR35726486,RNA-Seq,268,6115253513,SAMN50551697,2571009010,"BGI RESEARCH, BEIJING",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX30775672,DNBSEQ-T7,Y22110000552491,PAIRED,RANDOM PCR,METATRANSCRIPTOMIC,metagenome,DNBSEQ,2026-04-01T00:00:00Z,2025-10-02T16:20:00Z,1,A1771,SRP620618,PRJNA1304170,2022-06-27,China,Asia,China: ZhengJiang,Metagenome or environmental,Pipistrellus abramus,30.9 N 119.6 E,Anal swab A1771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR35726487,RNA-Seq,280,42580122408,SAMN50551418,16387381357,"BGI RESEARCH, BEIJING",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX30775671,DNBSEQ-T7,Y22110000552112,PAIRED,RANDOM PCR,METATRANSCRIPTOMIC,metagenome,DNBSEQ,2026-04-01T00:00:00Z,2025-10-02T16:42:00Z,1,A1392,SRP620618,PRJNA1304170,2022-06-24,China,Asia,China: ZhengJiang,Metagenome or environmental,Pipistrellus abramus,30.9 N 119.8 E,Anal swab A1392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR35726488,RNA-Seq,259,9707269764,SAMN50551696,3967200118,"BGI RESEARCH, BEIJING",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX30775670,DNBSEQ-T7,Y22110000552487,PAIRED,RANDOM PCR,METATRANSCRIPTOMIC,metagenome,DNBSEQ,2026-04-01T00:00:00Z,2025-10-02T16:23:00Z,1,A1767,SRP620618,PRJNA1304170,2022-06-27,China,Asia,China: ZhengJiang,Metagenome or environmental,Pipistrellus abramus,30.9 N 119.6 E,Anal swab A1767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
